,year,mediaSpecial,features
0,2017,0.3764346304666837,length
1,2018,0.356820547050022,length
2,2019,0.3733678865402526,length
3,2020,0.33521496328946493,length
0,2017,0.3750800765825802,popularity
1,2018,0.36975403272325286,popularity
2,2019,0.5908111258709265,popularity
3,2020,0.7720301574832885,popularity
0,2017,0.1742977035882833,acousticness
1,2018,0.1990133336592132,acousticness
2,2019,0.2768734608761626,acousticness
3,2020,0.2186016943654015,acousticness
0,2017,0.7046456795871123,danceability
1,2018,0.7186481325770648,danceability
2,2019,0.7518805893411231,danceability
3,2020,0.7453455922870881,danceability
0,2017,0.7484210856455265,energy
1,2018,0.7193858154553792,energy
2,2019,0.6850965871253437,energy
3,2020,0.7034781828775927,energy
0,2017,0.0018089413680835906,instrumentalness
1,2018,0.00163382215982059,instrumentalness
2,2019,0.00262294373250878,instrumentalness
3,2020,0.007287253049483976,instrumentalness
0,2017,0.16028034721632584,liveness
1,2018,0.18864383584865,liveness
2,2019,0.15562157948709743,liveness
3,2020,0.1495824621517886,liveness
0,2017,0.11182177002321687,speechiness
1,2018,0.09880473576213622,speechiness
2,2019,0.1475174271906221,speechiness
3,2020,0.13645970243325123,speechiness
0,2017,0.6282001994637054,valence
1,2018,0.6093542839020157,valence
2,2019,0.6119893645679088,valence
3,2020,0.6382133032384923,valence
0,2017,0.8572834226509554,loudness
1,2018,0.8524260614518846,loudness
2,2019,0.8500211315503945,loudness
3,2020,0.8554532134944569,loudness
0,2017,0.35240059925500883,tempo
1,2018,0.39254387360302284,tempo
2,2019,0.3828121267907297,tempo
3,2020,0.39888252123072604,tempo
